label,expcnt,mbrcnt,mmemcnt,fmemcnt
1950,0,0,0,0
1951,2,7,7,0
1952,2,16,16,0
1953,1,13,13,0
1954,0,0,0,0
1955,0,0,0,0
1956,1,11,11,0
1957,0,0,0,0
1958,0,0,0,0
1959,0,0,0,0
1960,2,40,40,0
1961,0,0,0,0
1962,2,17,17,0
1963,1,17,17,0
1964,1,2,2,0
1965,1,20,20,0
1966,1,3,3,0
1967,0,0,0,0
1968,0,0,0,0
1969,3,17,17,0
1970,2,60,59,1
1971,2,48,47,1
1972,2,32,31,1
1973,2,105,105,0
1974,2,25,25,0
1975,3,73,42,31
1976,2,50,48,2
1977,2,27,27,0
1978,4,48,47,1
1979,5,70,69,1
1980,8,129,123,6
1981,5,65,64,1
1982,8,111,110,1
1983,12,126,119,7
1984,13,179,170,9
1985,14,187,181,6
1986,15,138,125,13
1987,17,189,174,15
1988,20,331,318,13
1989,28,295,279,16
1990,22,216,196,20
1991,33,315,298,17
1992,33,375,349,26
1993,31,281,236,45
1994,26,223,206,17
1995,24,215,202,13
1996,39,298,275,23
1997,39,272,254,18
1998,41,233,215,18
1999,42,200,176,24
2000,60,346,321,25
2001,53,298,275,23
2002,50,219,184,35
2003,74,448,411,37
2004,66,343,307,36
2005,99,445,385,60
2006,101,466,419,47
2007,96,546,484,62
2008,61,384,341,43
2009,83,430,368,62
2010,85,405,357,48
2011,99,431,367,64
2012,92,500,434,66
2013,88,471,403,68
2014,22,96,83,13
2015,35,174,149,25
2016,78,433,354,79
2017,94,520,437,83
2018,85,543,450,93
2019,97,561,449,112
2020,2,28,20,8
